word,sentence,context,Class
bat,He saw a fruit bat.,M1_b,N
bat,He saw a furry bat.,M1_a,N
bat,He saw a baseball bat.,M2_b,N
bat,He saw a wooden bat.,M2_a,N
act,It was a comedic act.,M2_b,N
act,It was a desperate act.,M1_a,N
act,It was a humane act.,M1_b,N
act,It was a magic act.,M2_a,N
appeal,He had a legal appeal.,M2_a,N
appeal,He had a pending appeal.,M2_b,N
appeal,He had a universal appeal.,M1_a,N
appeal,He had an undefinable appeal.,M1_b,N
atmosphere,It was a gaseous atmosphere.,M2_a,N
atmosphere,It was a hostile atmosphere.,M1_b,N
atmosphere,It was a polluted atmosphere.,M2_b,N
atmosphere,It was a tense atmosphere.,M1_a,N
bail,He bailed out the defendant.,M1_b,V
bail,He bailed out the liquid.,M2_b,V
bail,He bailed out the prisoner.,M1_a,V
bail,He bailed out the water.,M2_a,V
band,It was a country band.,M2_b,N
band,It was a gold band.,M1_a,N
band,It was a jazz band.,M2_a,N
band,It was a rubber band.,M1_b,N
bank,He banked the cash.,M2_b,V
bank,He banked the helicopter.,M1_b,V
bank,He banked the money.,M2_a,V
bank,He banked the plane.,M1_a,V
barrier,There was a concrete barrier.,M1_b,N
barrier,There was a language barrier.,M2_a,N
barrier,There was a police barrier.,M1_a,N
barrier,There was a religious barrier.,M2_b,N
beam,He saw the balance beam.,M2_b,N
beam,He saw the bright beam.,M1_b,N
beam,He saw the laser beam.,M1_a,N
beam,He saw the wood beam.,M2_a,N
block,She had a mental block.,M2_a,N
block,She had a toy block.,M1_a,N
block,She had a wooden block.,M1_b,N
block,She had a writer's block.,M2_b,N
blood,He has coagulated blood.,M1_a,N
blood,He has noble blood.,M2_a,N
blood,He has royal blood.,M2_b,N
blood,He has thin blood.,M1_b,N
board,It was the executive board.,M2_a,N
board,It was the ironing board.,M1_a,N
board,It was the school board.,M2_b,N
board,It was the wooden board.,M1_b,N
book,He had a best-selling book.,M1_a,N
book,He had a heavy book.,M2_a,N
book,He had a leather-bound book.,M2_b,N
book,He had a popular book.,M1_b,N
break,He broke the dish.,M1_b,V
break,He broke the glass.,M1_a,V
break,He broke the law.,M2_a,V
break,He broke the promise.,M2_b,V
breakfast,They ate a family breakfast.,M2_a,N
breakfast,They ate a lonely breakfast.,M2_b,N
breakfast,They ate a nutritious breakfast.,M1_b,N
breakfast,They ate a pancake breakfast.,M1_a,N
call,They called the debt.,M2_b,V
call,They called the landlord.,M1_a,V
call,They called the loan.,M2_a,V
call,They called the police.,M1_b,V
cape,It was a flowing cape.,M1_b,N
cape,It was a red cape.,M1_a,N
cape,It was a rocky cape.,M2_a,N
cape,It was an island cape.,M2_b,N
case,It was a beer case.,M1_a,N
case,It was a criminal case.,M2_b,N
case,It was a display case.,M1_b,N
case,It was a divorce case.,M2_a,N
cast,She cast a glow.,M1_b,V
cast,She cast a shadow.,M1_a,V
cast,She cast a spear.,M2_a,V
cast,She cast a stone.,M2_b,V
cause,It was a main cause.,M2_a,N
cause,It was a political cause.,M1_b,N
cause,It was a primary cause.,M2_b,N
cause,It was a worthy cause.,M1_a,N
cell,It was a brain cell.,M1_b,N
cell,It was a jail cell.,M2_b,N
cell,It was a prison cell.,M2_a,N
cell,It was a skin cell.,M1_a,N
charm,She had a devilish charm.,M1_a,N
charm,She had a gold charm.,M2_a,N
charm,She had a good-luck charm.,M2_b,N
charm,She had a natural charm.,M1_b,N
check,He checked the alibi.,M2_a,V
check,He checked the engine.,M1_a,V
check,He checked the facts.,M2_b,V
check,He checked the oven.,M1_b,V
chicken,They liked the clucking chicken.,M2_a,N
chicken,They liked the juicy chicken.,M1_a,N
chicken,They liked the pet chicken.,M2_b,N
chicken,They liked the roasted chicken.,M1_b,N
class,It was a boring class.,M2_a,N
class,It was a misbehaving class.,M1_b,N
class,It was a perceptive class.,M1_a,N
class,It was a stimulating class.,M2_b,N
clear,He cleared the desk.,M1_a,V
clear,He cleared the path.,M2_a,V
clear,He cleared the road.,M2_b,V
clear,He cleared the shelf.,M1_b,V
clip,It was a film clip.,M1_a,N
clip,It was a hair clip.,M2_a,N
clip,It was a metal clip.,M2_b,N
clip,It was a video clip.,M1_b,N
clog,The choreographer clogged.,M1_b,V
clog,The dancer clogged.,M1_a,V
clog,The pipe clogged.,M2_a,V
clog,The sink clogged.,M2_b,V
cold,It was a chest cold.,M2_a,N
cold,It was a common cold.,M2_b,N
cold,It was a freezing cold.,M1_b,N
cold,It was an icy cold.,M1_a,N
column,It was a concrete column.,M2_a,N
column,It was a gossip column.,M1_a,N
column,It was a marble column.,M2_b,N
column,It was a sports column.,M1_b,N
company,He liked the investment company.,M1_a,N
company,He liked the pharmaceutical company.,M1_b,N
